,nama,input,neuron1,neuron2,epoch,rmse,time (s)
1,MD1,7,64,8,50,0.250664752442163,18.161709
2,MD2,30,64,8,50,0.26444022729250954,17.029278
3,MD3,365,64,8,50,0.28715961515027977,17.770414
4,MD4,7,128,8,50,0.25076976139316437,18.781562
5,MD5,30,128,8,50,0.2688142048799691,18.910063
6,MD6,365,128,8,50,0.27099523013131915,20.674061
7,MD7,7,256,8,50,0.25158765709719355,27.409358
8,MD8,30,256,8,50,0.2703266798196517,29.278713
9,MD9,365,256,8,50,0.2763926140197174,35.696246
10,MD10,7,64,16,50,0.25185940629539527,18.514529
11,MD11,30,64,16,50,0.2645394468062371,18.661689
12,MD12,365,64,16,50,0.28434018298158426,19.596324
13,MD13,7,128,16,50,0.2510023018639588,20.087553
14,MD14,30,128,16,50,0.27118046529283424,21.805168
15,MD15,365,128,16,50,0.2734242940785482,22.673815
16,MD16,7,256,16,50,0.25230778885743443,29.691443
17,MD17,30,256,16,50,0.27785600486984907,31.549872
18,MD18,365,256,16,50,0.2713445258810505,38.762248
19,MD19,7,64,32,50,0.2521996828135418,22.650057
20,MD20,30,64,32,50,0.26676163846907125,21.443961
21,MD21,365,64,32,50,0.2812189873141147,22.441313
22,MD22,7,128,32,50,0.2517250756403856,29.744424
23,MD23,30,128,32,50,0.2745561193645771,27.479912
24,MD24,365,128,32,50,0.28247374870627184,32.05381
25,MD25,7,256,32,50,0.25116225150674976,42.570214
26,MD26,30,256,32,50,0.28259888492638563,36.178964
27,MD27,365,256,32,50,0.27645606087042296,54.512221
