,nama,input,neuron,epoch,rmse,time (s)
1,MS1,7,8,50,0.25046297654113897,12.3659
2,MS2,30,8,50,0.2542533647301835,11.646479
3,MS3,60,8,50,0.2574372966877032,12.27321
4,MS4,120,8,50,0.2692091914332666,12.285748
5,MS5,365,8,50,0.30701387013733616,10.311408
6,MS6,7,16,50,0.2507345344903102,11.300915
7,MS7,30,16,50,0.25523253853412164,10.77855
8,MS8,60,16,50,0.26255008065797925,11.019272
9,MS9,120,16,50,0.2799378854236865,10.730639
10,MS10,365,16,50,0.3059196099999712,10.696422
11,MS11,7,32,50,0.2511954251262667,10.816296000000001
12,MS12,30,32,50,0.25943249681875785,11.179285
13,MS13,60,32,50,0.2687646193606992,10.822151
14,MS14,120,32,50,0.3011839186410488,11.556058
15,MS15,365,32,50,0.2864244543369965,11.637393
16,MS16,7,64,50,0.2504084229454882,11.719696
17,MS17,30,64,50,0.2607260139364945,11.96152
18,MS18,60,64,50,0.2739150673945457,11.680678
19,MS19,120,64,50,0.29502675071430684,12.726469
20,MS20,365,64,50,0.2876549489701591,12.806724
21,MS21,7,128,50,0.2503007318713894,13.126526
22,MS22,30,128,50,0.26632856106404085,13.387457000000001
23,MS23,60,128,50,0.2769818304620321,14.584804
24,MS24,120,128,50,0.29616822592888703,13.954393
25,MS25,365,128,50,0.2880681858308945,15.442924
26,MS26,7,256,50,0.25063483441040746,22.503733999999998
27,MS27,30,256,50,0.2673951684786446,22.467971
28,MS28,60,256,50,0.287797414804877,22.719756
29,MS29,120,256,50,0.3003834573292852,23.455262
30,MS30,365,256,50,0.28638609625490985,31.50808
31,MS31,7,8,100,0.2506956375658485,19.583593
32,MS32,30,8,100,0.26032737998123984,19.952742999999998
33,MS33,60,8,100,0.2787001174856725,20.14374
34,MS34,120,8,100,0.2957007592592119,21.302039999999998
35,MS35,365,8,100,0.3134996587216443,22.486501
36,MS36,7,16,100,0.25146759466460666,20.037367
37,MS37,30,16,100,0.2642243460316877,21.753654
38,MS38,60,16,100,0.28451380050531844,20.483558
39,MS39,120,16,100,0.3143939310268115,20.08313
40,MS40,365,16,100,0.3035449838558911,19.648951
41,MS41,7,32,100,0.25075106582953394,22.269212
42,MS42,30,32,100,0.2764660666063448,21.655699
43,MS43,60,32,100,0.3003876650349629,26.59266
44,MS44,120,32,100,0.32150601852427874,22.955826000000002
45,MS45,365,32,100,0.2874647033407799,26.269444
46,MS46,7,64,100,0.25046265337537904,23.998645
47,MS47,30,64,100,0.2850381303206692,28.487639
48,MS48,60,64,100,0.3030509498933776,23.38081
49,MS49,120,64,100,0.32142747553388223,23.400928
50,MS50,365,64,100,0.2779889514566714,29.143599
51,MS51,7,128,100,0.25066382277624616,27.608562
52,MS52,30,128,100,0.3060461827182944,28.586883
53,MS53,60,128,100,0.31348487924890195,27.272337
54,MS54,120,128,100,0.3184275654404313,28.067690999999996
55,MS55,365,128,100,0.2806139634079288,41.624287
56,MS56,7,256,100,0.250555478028798,50.330449
57,MS57,30,256,100,0.2955910731763581,48.392032
58,MS58,60,256,100,0.3201450761752319,61.654442
59,MS59,120,256,100,0.3259135359658173,51.244888
60,MS60,365,256,100,0.27421625271696065,64.030025
61,MS61,7,8,200,0.25111385970842914,42.971634
62,MS62,30,8,200,0.2719943380274081,40.10341
63,MS63,60,8,200,0.30696813838915593,323.10969900000003
64,MS64,120,8,200,0.3498292040703409,49.771052000000005
65,MS65,365,8,200,0.32735344446071324,49.60443
66,MS66,7,16,200,0.25045665382481225,42.298421999999995
67,MS67,30,16,200,0.2858664256199245,50.606989
68,MS68,60,16,200,0.3390818861931849,68.195755
69,MS69,120,16,200,0.3500757492195959,55.681371
70,MS70,365,16,200,0.2879528832087638,58.84575699999999
71,MS71,7,32,200,0.2509504353696616,54.654793000000005
72,MS72,30,32,200,0.3029596173987135,70.65114100000001
73,MS73,60,32,200,0.3390604470113761,1379.2518910000001
74,MS74,120,32,200,0.34608298636404083,57.690096999999994
75,MS75,365,32,200,0.2827793124521353,64.369203
76,MS76,7,64,200,0.25138086287852224,79.764085
77,MS77,30,64,200,0.3225509864631765,64.720249
78,MS78,60,64,200,0.33997896971953906,60.380027
79,MS79,120,64,200,0.3384552279020077,60.98287
80,MS80,365,64,200,0.2778609982347349,84.263085
81,MS81,7,128,200,0.251359243396426,71.978528
82,MS82,30,128,200,0.3393163401307931,120.802815
83,MS83,60,128,200,0.3614222220319076,75.62044399999999
84,MS84,120,128,200,0.3414588940256341,2168.973825
85,MS85,365,128,200,0.2665846292641602,139.433945
86,MS86,7,256,200,0.2516465535829385,79.294619
87,MS87,30,256,200,0.34948539128726824,75.400181
88,MS88,60,256,200,0.35791561209821654,77.052326
89,MS89,120,256,200,0.3430683525455207,82.858055
90,MS90,365,256,200,0.27097232209470207,111.644937
