-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2010 through 12/31/2019 
Location: Latitude  -8.215   Longitude 114.3553 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 285.79 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
-8.21499,114.35531,2010,01,01,              5.72
-8.21499,114.35531,2010,01,02,              6.82
-8.21499,114.35531,2010,01,03,              6.62
-8.21499,114.35531,2010,01,04,              6.23
-8.21499,114.35531,2010,01,05,              5.75
-8.21499,114.35531,2010,01,06,              5.73
-8.21499,114.35531,2010,01,07,              2.07
-8.21499,114.35531,2010,01,08,              4.34
-8.21499,114.35531,2010,01,09,              2.88
-8.21499,114.35531,2010,01,10,              5.99
-8.21499,114.35531,2010,01,11,              4.81
-8.21499,114.35531,2010,01,12,              6.20
-8.21499,114.35531,2010,01,13,              4.16
-8.21499,114.35531,2010,01,14,              6.24
-8.21499,114.35531,2010,01,15,              4.32
-8.21499,114.35531,2010,01,16,              4.73
-8.21499,114.35531,2010,01,17,              5.35
-8.21499,114.35531,2010,01,18,              5.98
-8.21499,114.35531,2010,01,19,              5.41
-8.21499,114.35531,2010,01,20,              6.77
-8.21499,114.35531,2010,01,21,              5.40
-8.21499,114.35531,2010,01,22,              4.78
-8.21499,114.35531,2010,01,23,              6.25
-8.21499,114.35531,2010,01,24,              5.72
-8.21499,114.35531,2010,01,25,              4.63
-8.21499,114.35531,2010,01,26,              5.88
-8.21499,114.35531,2010,01,27,              5.47
-8.21499,114.35531,2010,01,28,              5.37
-8.21499,114.35531,2010,01,29,              5.81
-8.21499,114.35531,2010,01,30,              6.51
-8.21499,114.35531,2010,01,31,              3.82
-8.21499,114.35531,2010,02,01,              5.28
-8.21499,114.35531,2010,02,02,              6.06
-8.21499,114.35531,2010,02,03,              5.33
-8.21499,114.35531,2010,02,04,              5.14
-8.21499,114.35531,2010,02,05,              5.28
-8.21499,114.35531,2010,02,06,              3.58
-8.21499,114.35531,2010,02,07,              5.80
-8.21499,114.35531,2010,02,08,              4.42
-8.21499,114.35531,2010,02,09,              6.32
-8.21499,114.35531,2010,02,10,              6.12
-8.21499,114.35531,2010,02,11,              6.52
-8.21499,114.35531,2010,02,12,              5.81
-8.21499,114.35531,2010,02,13,              5.57
-8.21499,114.35531,2010,02,14,              5.34
-8.21499,114.35531,2010,02,15,              5.70
-8.21499,114.35531,2010,02,16,              6.12
-8.21499,114.35531,2010,02,17,              5.98
-8.21499,114.35531,2010,02,18,              5.93
-8.21499,114.35531,2010,02,19,              4.22
-8.21499,114.35531,2010,02,20,              5.93
-8.21499,114.35531,2010,02,21,              6.69
-8.21499,114.35531,2010,02,22,              6.53
-8.21499,114.35531,2010,02,23,              5.76
-8.21499,114.35531,2010,02,24,              5.09
-8.21499,114.35531,2010,02,25,              5.24
-8.21499,114.35531,2010,02,26,              6.70
-8.21499,114.35531,2010,02,27,              6.66
-8.21499,114.35531,2010,02,28,              5.87
-8.21499,114.35531,2010,03,01,              6.02
-8.21499,114.35531,2010,03,02,              5.79
-8.21499,114.35531,2010,03,03,              6.55
-8.21499,114.35531,2010,03,04,              5.18
-8.21499,114.35531,2010,03,05,              5.01
-8.21499,114.35531,2010,03,06,              5.31
-8.21499,114.35531,2010,03,07,              4.97
-8.21499,114.35531,2010,03,08,              5.88
-8.21499,114.35531,2010,03,09,              6.27
-8.21499,114.35531,2010,03,10,              6.46
-8.21499,114.35531,2010,03,11,              6.33
-8.21499,114.35531,2010,03,12,              4.79
-8.21499,114.35531,2010,03,13,              6.34
-8.21499,114.35531,2010,03,14,              6.49
-8.21499,114.35531,2010,03,15,              6.49
-8.21499,114.35531,2010,03,16,              6.09
-8.21499,114.35531,2010,03,17,              6.05
-8.21499,114.35531,2010,03,18,              5.66
-8.21499,114.35531,2010,03,19,              6.76
-8.21499,114.35531,2010,03,20,              6.39
-8.21499,114.35531,2010,03,21,              6.26
-8.21499,114.35531,2010,03,22,              5.96
-8.21499,114.35531,2010,03,23,              6.45
-8.21499,114.35531,2010,03,24,              6.38
-8.21499,114.35531,2010,03,25,              6.45
-8.21499,114.35531,2010,03,26,              5.50
-8.21499,114.35531,2010,03,27,              5.83
-8.21499,114.35531,2010,03,28,              5.44
-8.21499,114.35531,2010,03,29,              4.69
-8.21499,114.35531,2010,03,30,              4.90
-8.21499,114.35531,2010,03,31,              3.29
-8.21499,114.35531,2010,04,01,              5.51
-8.21499,114.35531,2010,04,02,              5.91
-8.21499,114.35531,2010,04,03,              5.29
-8.21499,114.35531,2010,04,04,              6.14
-8.21499,114.35531,2010,04,05,              5.52
-8.21499,114.35531,2010,04,06,              4.58
-8.21499,114.35531,2010,04,07,              4.47
-8.21499,114.35531,2010,04,08,              5.20
-8.21499,114.35531,2010,04,09,              4.34
-8.21499,114.35531,2010,04,10,              5.19
-8.21499,114.35531,2010,04,11,              4.77
-8.21499,114.35531,2010,04,12,              5.29
-8.21499,114.35531,2010,04,13,              4.37
-8.21499,114.35531,2010,04,14,              4.03
-8.21499,114.35531,2010,04,15,              4.91
-8.21499,114.35531,2010,04,16,              5.24
-8.21499,114.35531,2010,04,17,              4.84
-8.21499,114.35531,2010,04,18,              5.21
-8.21499,114.35531,2010,04,19,              4.46
-8.21499,114.35531,2010,04,20,              2.72
-8.21499,114.35531,2010,04,21,              2.24
-8.21499,114.35531,2010,04,22,              5.46
-8.21499,114.35531,2010,04,23,              5.01
-8.21499,114.35531,2010,04,24,              4.66
-8.21499,114.35531,2010,04,25,              5.34
-8.21499,114.35531,2010,04,26,              4.58
-8.21499,114.35531,2010,04,27,              3.61
-8.21499,114.35531,2010,04,28,              5.47
-8.21499,114.35531,2010,04,29,              5.62
-8.21499,114.35531,2010,04,30,              5.78
-8.21499,114.35531,2010,05,01,              5.86
-8.21499,114.35531,2010,05,02,              4.77
-8.21499,114.35531,2010,05,03,              1.25
-8.21499,114.35531,2010,05,04,              4.42
-8.21499,114.35531,2010,05,05,              5.03
-8.21499,114.35531,2010,05,06,              5.13
-8.21499,114.35531,2010,05,07,              4.43
-8.21499,114.35531,2010,05,08,              3.86
-8.21499,114.35531,2010,05,09,              3.16
-8.21499,114.35531,2010,05,10,              4.32
-8.21499,114.35531,2010,05,11,              3.92
-8.21499,114.35531,2010,05,12,              4.36
-8.21499,114.35531,2010,05,13,              3.78
-8.21499,114.35531,2010,05,14,              4.35
-8.21499,114.35531,2010,05,15,              3.61
-8.21499,114.35531,2010,05,16,              4.67
-8.21499,114.35531,2010,05,17,              3.77
-8.21499,114.35531,2010,05,18,              5.31
-8.21499,114.35531,2010,05,19,              5.16
-8.21499,114.35531,2010,05,20,              5.27
-8.21499,114.35531,2010,05,21,              5.33
-8.21499,114.35531,2010,05,22,              4.48
-8.21499,114.35531,2010,05,23,              4.73
-8.21499,114.35531,2010,05,24,              3.20
-8.21499,114.35531,2010,05,25,              4.94
-8.21499,114.35531,2010,05,26,              4.57
-8.21499,114.35531,2010,05,27,              3.63
-8.21499,114.35531,2010,05,28,              3.28
-8.21499,114.35531,2010,05,29,              4.64
-8.21499,114.35531,2010,05,30,              4.59
-8.21499,114.35531,2010,05,31,              3.93
-8.21499,114.35531,2010,06,01,              4.59
-8.21499,114.35531,2010,06,02,              4.26
-8.21499,114.35531,2010,06,03,              4.09
-8.21499,114.35531,2010,06,04,              4.69
-8.21499,114.35531,2010,06,05,              4.83
-8.21499,114.35531,2010,06,06,              4.87
-8.21499,114.35531,2010,06,07,              4.53
-8.21499,114.35531,2010,06,08,              3.39
-8.21499,114.35531,2010,06,09,              3.36
-8.21499,114.35531,2010,06,10,              4.38
-8.21499,114.35531,2010,06,11,              4.90
-8.21499,114.35531,2010,06,12,              4.50
-8.21499,114.35531,2010,06,13,              4.79
-8.21499,114.35531,2010,06,14,              4.25
-8.21499,114.35531,2010,06,15,              4.74
-8.21499,114.35531,2010,06,16,              4.83
-8.21499,114.35531,2010,06,17,              4.32
-8.21499,114.35531,2010,06,18,              4.36
-8.21499,114.35531,2010,06,19,              4.11
-8.21499,114.35531,2010,06,20,              4.99
-8.21499,114.35531,2010,06,21,              5.33
-8.21499,114.35531,2010,06,22,              4.68
-8.21499,114.35531,2010,06,23,              4.43
-8.21499,114.35531,2010,06,24,              4.01
-8.21499,114.35531,2010,06,25,              2.92
-8.21499,114.35531,2010,06,26,              4.36
-8.21499,114.35531,2010,06,27,              4.36
-8.21499,114.35531,2010,06,28,              4.66
-8.21499,114.35531,2010,06,29,              5.01
-8.21499,114.35531,2010,06,30,              4.74
-8.21499,114.35531,2010,07,01,              5.08
-8.21499,114.35531,2010,07,02,              4.53
-8.21499,114.35531,2010,07,03,              4.95
-8.21499,114.35531,2010,07,04,              4.36
-8.21499,114.35531,2010,07,05,              4.90
-8.21499,114.35531,2010,07,06,              4.41
-8.21499,114.35531,2010,07,07,              4.95
-8.21499,114.35531,2010,07,08,              4.80
-8.21499,114.35531,2010,07,09,              4.43
-8.21499,114.35531,2010,07,10,              4.66
-8.21499,114.35531,2010,07,11,              4.22
-8.21499,114.35531,2010,07,12,              4.76
-8.21499,114.35531,2010,07,13,              4.78
-8.21499,114.35531,2010,07,14,              3.87
-8.21499,114.35531,2010,07,15,              4.96
-8.21499,114.35531,2010,07,16,              4.47
