YEAR_MO_DY,set_latih
2010-01-01,5.72
2010-01-02,6.82
2010-01-03,6.62
2010-01-04,6.23
2010-01-05,5.75
2010-01-06,5.73
2010-01-07,2.07
2010-01-08,4.34
2010-01-09,2.88
2010-01-10,5.99
2010-01-11,4.81
2010-01-12,6.2
2010-01-13,4.16
2010-01-14,6.24
2010-01-15,4.32
2010-01-16,4.73
2010-01-17,5.35
2010-01-18,5.98
2010-01-19,5.41
2010-01-20,6.77
2010-01-21,5.4
2010-01-22,4.78
2010-01-23,6.25
2010-01-24,5.72
2010-01-25,4.63
2010-01-26,5.88
2010-01-27,5.47
2010-01-28,5.37
2010-01-29,5.81
2010-01-30,6.51
2010-01-31,3.8199999999999994
2010-02-01,5.28
2010-02-02,6.06
2010-02-03,5.33
2010-02-04,5.14
2010-02-05,5.28
2010-02-06,3.58
2010-02-07,5.8
2010-02-08,4.42
2010-02-09,6.32
2010-02-10,6.12
2010-02-11,6.52
2010-02-12,5.81
2010-02-13,5.57
2010-02-14,5.34
2010-02-15,5.7
2010-02-16,6.12
2010-02-17,5.98
2010-02-18,5.93
2010-02-19,4.22
2010-02-20,5.93
2010-02-21,6.69
2010-02-22,6.53
2010-02-23,5.76
2010-02-24,5.09
2010-02-25,5.24
2010-02-26,6.7
2010-02-27,6.66
2010-02-28,5.87
2010-03-01,6.02
2010-03-02,5.79
2010-03-03,6.55
2010-03-04,5.18
2010-03-05,5.01
2010-03-06,5.31
2010-03-07,4.97
2010-03-08,5.88
2010-03-09,6.27
2010-03-10,6.46
2010-03-11,6.33
2010-03-12,4.79
2010-03-13,6.34
2010-03-14,6.49
2010-03-15,6.49
2010-03-16,6.09
2010-03-17,6.05
2010-03-18,5.66
2010-03-19,6.76
2010-03-20,6.39
2010-03-21,6.26
2010-03-22,5.96
2010-03-23,6.45
2010-03-24,6.38
2010-03-25,6.45
2010-03-26,5.5
2010-03-27,5.83
2010-03-28,5.44
2010-03-29,4.69
2010-03-30,4.9
2010-03-31,3.29
2010-04-01,5.51
2010-04-02,5.91
2010-04-03,5.29
2010-04-04,6.14
2010-04-05,5.52
2010-04-06,4.58
2010-04-07,4.47
2010-04-08,5.2
2010-04-09,4.34
2010-04-10,5.19
2010-04-11,4.77
2010-04-12,5.29
2010-04-13,4.37
2010-04-14,4.03
2010-04-15,4.91
2010-04-16,5.24
2010-04-17,4.84
