YEAR_MO_DY,set_uji
2017-01-01,5.82
2017-01-02,3.65
2017-01-03,4.58
2017-01-04,6.08
2017-01-05,5.64
2017-01-06,5.8
2017-01-07,5.63
2017-01-08,5.48
2017-01-09,6.4
2017-01-10,4.67
2017-01-11,5.76
2017-01-12,5.18
2017-01-13,5.48
2017-01-14,4.61
2017-01-15,3.33
2017-01-16,3.07
2017-01-17,5.18
2017-01-18,6.01
2017-01-19,4.21
2017-01-20,5.18
2017-01-21,3.25
2017-01-22,3.7400000000000007
2017-01-23,3.11
2017-01-24,5.62
2017-01-25,4.28
2017-01-26,4.26
2017-01-27,5.11
2017-01-28,4.26
2017-01-29,3.96
2017-01-30,2.29
2017-01-31,2.37
2017-02-01,1.8
2017-02-02,2.73
2017-02-03,1.98
2017-02-04,5.33
2017-02-05,5.21
2017-02-06,4.71
2017-02-07,6.24
2017-02-08,4.2
2017-02-09,3.2
2017-02-10,4.95
2017-02-11,4.13
2017-02-12,2.06
2017-02-13,4.33
2017-02-14,5.48
2017-02-15,5.91
2017-02-16,3.95
2017-02-17,5.87
2017-02-18,6.93
2017-02-19,6.11
2017-02-20,6.25
2017-02-21,6.05
2017-02-22,6.09
2017-02-23,6.88
2017-02-24,6.92
2017-02-25,6.26
2017-02-26,6.74
2017-02-27,5.58
2017-02-28,5.61
2017-03-01,5.74
2017-03-02,6.54
2017-03-03,5.71
2017-03-04,6.49
2017-03-05,6.51
2017-03-06,6.29
2017-03-07,6.24
2017-03-08,4.31
2017-03-09,4.81
2017-03-10,4.4
2017-03-11,6.7
2017-03-12,5.65
2017-03-13,6.09
2017-03-14,3.12
2017-03-15,5.86
2017-03-16,5.98
2017-03-17,3.6799999999999997
2017-03-18,5.68
2017-03-19,4.72
2017-03-20,4.52
2017-03-21,3.09
2017-03-22,3.6999999999999997
2017-03-23,4.92
2017-03-24,5.01
2017-03-25,5.08
2017-03-26,3.9000000000000004
2017-03-27,1.97
2017-03-28,6.27
2017-03-29,5.44
2017-03-30,5.77
2017-03-31,5.57
2017-04-01,5.77
2017-04-02,5.48
2017-04-03,5.23
2017-04-04,2.55
2017-04-05,4.88
2017-04-06,3.08
2017-04-07,4.91
2017-04-08,2.39
2017-04-09,4.42
2017-04-10,5.81
2017-04-11,5.71
2017-04-12,6.23
2017-04-13,5.41
2017-04-14,5.99
2017-04-15,6.23
2017-04-16,6.35
2017-04-17,6.04
2017-04-18,5.62
2017-04-19,5.29
2017-04-20,5.81
2017-04-21,3.95
2017-04-22,5.9
2017-04-23,5.82
2017-04-24,5.74
2017-04-25,5.91
2017-04-26,5.51
2017-04-27,5.41
2017-04-28,5.59
2017-04-29,5.8
2017-04-30,6.11
2017-05-01,4.34
2017-05-02,2.04
2017-05-03,4.02
2017-05-04,4.84
2017-05-05,5.34
2017-05-06,5.34
2017-05-07,4.88
2017-05-08,4.32
2017-05-09,5.09
2017-05-10,5.73
2017-05-11,5.31
2017-05-12,3.89
2017-05-13,4.74
2017-05-14,5.27
2017-05-15,4.96
2017-05-16,5.17
2017-05-17,5.74
2017-05-18,5.78
2017-05-19,5.43
2017-05-20,5.19
2017-05-21,5.2
2017-05-22,5.52
2017-05-23,5.81
2017-05-24,5.54
2017-05-26,3.17
2017-05-27,4.0
2017-05-28,3.9000000000000004
2017-05-30,4.67
2017-05-31,4.59
2017-06-01,4.44
2017-06-02,4.61
2017-06-03,5.11
2017-06-04,5.04
2017-06-05,5.18
2017-06-06,5.16
2017-06-07,5.06
2017-06-08,3.96
2017-06-09,4.24
2017-06-10,4.84
2017-06-11,4.35
2017-06-12,2.29
2017-06-13,1.0400000000000003
2017-06-14,4.87
2017-06-15,4.25
2017-06-16,5.19
2017-06-17,5.3
2017-06-18,3.7299999999999995
2017-06-19,4.24
2017-06-20,4.75
2017-06-21,2.31
2017-06-22,4.65
2017-06-23,4.43
2017-06-24,4.94
2017-06-25,4.62
2017-06-26,3.98
2017-06-27,4.81
2017-06-28,5.41
2017-06-29,5.21
2017-06-30,4.23
2017-07-01,5.04
2017-07-02,5.13
2017-07-03,5.1
2017-07-04,4.85
2017-07-05,4.31
2017-07-06,4.91
2017-07-07,2.96
2017-07-08,2.92
2017-07-09,3.5300000000000002
2017-07-10,3.58
2017-07-11,4.47
2017-07-12,3.63
2017-07-13,4.37
2017-07-14,4.53
2017-07-15,5.38
2017-07-16,5.07
2017-07-17,5.09
2017-07-18,4.93
2017-07-19,5.39
2017-07-20,5.4
2017-07-21,5.01
2017-07-22,4.95
2017-07-23,5.59
2017-07-24,5.57
2017-07-25,5.11
2017-07-26,3.7900000000000005
2017-07-27,4.98
2017-07-28,5.4
2017-07-29,2.96
2017-07-30,4.93
2017-07-31,5.68
2017-08-01,3.99
2017-08-02,3.8
2017-08-03,4.35
2017-08-04,3.98
2017-08-05,5.17
2017-08-06,4.9
2017-08-07,5.46
2017-08-08,5.55
2017-08-09,5.24
2017-08-10,5.46
2017-08-11,5.78
2017-08-12,5.5
2017-08-13,5.43
2017-08-14,5.99
2017-08-15,5.23
2017-08-16,5.59
2017-08-17,5.62
2017-08-18,3.16
2017-08-19,4.0
2017-08-20,5.64
2017-08-21,5.85
2017-08-22,5.4
2017-08-23,5.75
2017-08-24,6.16
2017-08-25,6.3
2017-08-26,6.19
2017-08-27,6.29
2017-08-28,5.93
2017-08-29,6.07
2017-08-30,5.94
2017-08-31,6.11
2017-09-01,5.78
2017-09-02,5.44
2017-09-03,5.72
2017-09-04,4.81
2017-09-05,5.69
2017-09-06,5.93
2017-09-07,6.29
2017-09-08,5.88
2017-09-09,5.82
2017-09-10,5.47
2017-09-11,6.41
2017-09-12,5.93
2017-09-13,6.13
2017-09-14,6.89
2017-09-15,6.77
2017-09-16,6.51
2017-09-17,6.48
2017-09-18,7.0
2017-09-19,6.79
2017-09-20,6.67
2017-09-21,6.55
2017-09-22,6.15
2017-09-23,5.76
2017-09-24,5.2
2017-09-25,4.35
2017-09-26,5.32
2017-09-27,6.25
2017-09-28,6.44
2017-09-29,6.74
2017-09-30,5.39
2017-10-01,5.99
2017-10-02,5.67
2017-10-03,5.4
2017-10-04,5.5
2017-10-05,5.52
2017-10-06,6.07
2017-10-07,5.12
2017-10-08,4.31
2017-10-09,6.15
2017-10-10,5.7
2017-10-11,6.55
2017-10-12,6.68
2017-10-13,6.62
2017-10-14,6.9
2017-10-15,5.3
2017-10-16,5.0
2017-10-17,5.5
2017-10-18,4.43
2017-10-19,6.38
2017-10-20,6.42
2017-10-21,6.95
2017-10-22,7.129999999999999
2017-10-23,6.6
2017-10-24,4.45
2017-10-25,6.63
2017-10-26,3.91
2017-10-27,6.52
2017-10-28,6.96
2017-10-29,7.18
2017-10-30,7.390000000000001
2017-10-31,7.169999999999999
2017-11-01,7.459999999999999
2017-11-02,6.89
2017-11-03,5.38
2017-11-04,5.92
2017-11-05,2.1
2017-11-06,5.71
2017-11-07,4.82
2017-11-08,6.32
2017-11-09,6.16
2017-11-10,5.48
2017-11-11,5.84
2017-11-12,4.92
2017-11-13,2.75
2017-11-14,2.92
2017-11-15,5.28
2017-11-16,3.25
2017-11-17,5.02
2017-11-18,5.9
2017-11-19,3.94
2017-11-20,5.26
2017-11-21,1.1400000000000001
2017-11-22,4.64
2017-11-23,4.94
2017-11-24,4.03
2017-11-25,6.26
2017-11-26,3.8199999999999994
2017-11-27,2.27
2017-11-28,2.51
2017-11-29,5.15
2017-11-30,4.03
2017-12-01,2.99
2017-12-02,5.84
2017-12-03,5.3
2017-12-04,5.74
2017-12-05,5.67
2017-12-06,5.62
2017-12-07,6.3
2017-12-08,6.7
2017-12-09,6.67
2017-12-10,4.96
2017-12-11,3.49
2017-12-12,4.3
2017-12-13,5.24
2017-12-14,5.29
2017-12-15,5.42
2017-12-16,4.12
2017-12-17,3.7400000000000007
2017-12-18,2.42
2017-12-19,5.37
2017-12-20,1.9099999999999997
2017-12-21,3.78
2017-12-22,4.72
2017-12-23,5.48
2017-12-24,4.71
2017-12-25,1.9099999999999997
2017-12-26,4.39
2017-12-27,4.46
2017-12-28,4.54
2017-12-30,3.8399999999999994
2017-12-31,2.65
2018-01-01,5.15
2018-01-02,5.81
2018-01-03,5.42
2018-01-04,6.69
2018-01-05,5.05
2018-01-06,4.66
2018-01-07,3.76
2018-01-08,5.75
2018-01-09,5.52
2018-01-10,3.59
2018-01-11,2.09
2018-01-12,2.72
2018-01-13,3.8300000000000005
2018-01-14,3.91
2018-01-15,4.15
2018-01-16,3.67
2018-01-17,4.16
2018-01-18,5.15
2018-01-19,4.3
2018-01-20,1.9099999999999997
2018-01-21,2.61
2018-01-22,4.0
2018-01-23,3.52
2018-01-24,4.59
2018-01-25,2.25
2018-01-26,4.77
2018-01-27,4.78
2018-01-28,6.43
2018-01-29,3.36
2018-01-30,5.84
2018-01-31,4.96
2018-02-01,1.7299999999999998
2018-02-02,4.27
2018-02-03,4.49
2018-02-04,6.01
2018-02-05,6.8
2018-02-06,6.14
2018-02-07,5.57
2018-02-08,4.64
2018-02-09,5.83
